Date,Total,Blekinge län,Dalarnas län,Gotlands län,Gävleborgs län,Hallands län,Jämtlands län,Jönköpings län,Kalmar län,Kronobergs län,Norrbottens län,Skåne län,Stockholms län,Södermanlands län,Uppsala län,Värmlands län,Västerbottens län,Västernorrlands län,Västmanlands län,Västra Götalands län,Örebro län,Östergötlands län
2020-03-11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-16,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2020-03-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-18,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-03-19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-20,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
2020-03-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-22,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
2020-03-23,10,0,1,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0
2020-03-24,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2
2020-03-25,23,0,0,0,1,0,0,1,0,0,1,0,18,2,0,0,0,0,0,0,0,0
2020-03-26,15,1,1,0,0,2,0,1,0,0,0,1,6,3,0,0,0,0,0,0,0,0
2020-03-27,28,0,2,0,0,1,0,1,1,0,0,1,17,2,0,0,0,0,0,3,0,0
2020-03-28,7,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0
2020-03-29,11,0,0,0,0,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,1
2020-03-30,42,0,4,0,1,3,0,2,0,0,1,0,21,0,2,0,0,0,2,0,1,5
2020-03-31,33,0,1,0,1,1,0,1,0,0,1,1,15,6,1,0,0,1,0,2,0,2
2020-04-01,61,0,1,0,1,0,0,2,2,0,1,0,45,3,1,0,0,0,1,0,1,3
2020-04-02,49,0,4,0,0,2,0,0,0,0,0,2,30,4,1,0,0,1,0,3,0,2
2020-04-03,50,0,2,0,1,0,0,2,0,0,0,2,25,10,1,0,0,0,1,5,0,1
2020-04-04,33,0,0,0,0,0,0,0,0,0,0,2,21,5,0,0,0,0,1,4,0,0
2020-04-05,37,0,0,0,0,2,0,2,0,0,0,0,26,6,0,0,0,0,0,0,0,1
2020-04-06,78,0,6,0,0,1,0,1,2,1,0,1,52,3,0,0,1,0,4,3,0,3
2020-04-07,112,0,0,0,0,2,0,1,0,0,1,1,78,10,1,0,0,4,2,5,7,0
2020-04-08,78,0,5,0,12,0,0,3,0,0,1,0,38,4,0,0,0,0,4,7,0,4
2020-04-09,116,0,6,1,3,1,0,3,0,0,2,3,67,10,4,0,3,2,2,6,0,3
2020-04-10,69,0,2,0,7,0,0,1,0,0,0,1,24,4,16,0,1,1,0,10,0,2
2020-04-11,20,0,1,0,0,0,0,1,0,1,0,2,13,1,0,0,0,0,1,0,0,0
2020-04-12,16,1,1,0,0,0,0,1,0,0,2,0,5,1,0,0,2,0,0,1,0,2
2020-04-13,34,0,0,0,0,0,0,3,0,0,0,6,15,5,0,0,0,0,0,1,0,4
2020-04-14,136,0,6,0,6,2,0,4,0,3,1,4,73,2,9,0,0,2,10,3,3,8
2020-04-15,143,0,4,0,2,2,1,1,0,0,4,0,86,22,0,2,1,2,7,6,0,3
2020-04-16,132,0,1,0,0,2,0,3,1,2,0,5,93,3,4,0,0,0,4,7,0,7
2020-04-17,82,0,15,0,1,2,4,1,0,0,1,1,21,2,2,0,2,2,0,8,18,2
2020-04-18,113,0,0,0,0,0,0,0,0,1,0,7,81,7,5,0,0,0,5,5,0,2
2020-04-19,30,0,0,0,0,0,0,0,0,0,0,1,24,0,3,0,0,0,0,1,0,1
2020-04-20,64,0,0,0,3,0,0,1,0,1,2,0,23,3,7,0,0,2,16,2,0,4
2020-04-21,148,0,2,0,1,2,0,2,0,2,5,10,78,8,4,1,1,4,0,20,6,2
2020-04-22,140,0,7,0,4,2,5,6,1,0,3,1,48,11,1,1,0,2,4,28,3,13
2020-04-23,97,0,1,0,1,2,0,2,3,1,0,0,58,3,4,0,1,0,8,3,5,5
2020-04-24,123,0,6,0,2,1,1,2,0,2,2,3,64,3,0,0,1,4,8,15,4,5
